"","SampleID","HF","Depth","sample_mass_g","mg_C_per_sample","g_of_sample_mass","C_loss_as_CO2","week","mg_CO2C_per_sample","mineralizability","frac_C_remained"
"224","21","Low","1 cm",15.01,392.31800712963,80.5821,0.001456166,"12",7.81751593794804,0.0199264774898924,0.980073522510108
"234","22","Low","1 cm",15,367.06187852338,80.5726,0.001122905,"12",6.03169169353333,0.0164323566309792,0.983567643369021
"244","23","Low","1 cm",15.01,363.837539177348,80.5845,0.001719955,"12",9.23395827431712,0.0253793445700944,0.974620655429906
"254","24","Low","1 cm",14.99,321.796911759561,80.5726,0.001395282,"12",7.49976640915277,0.0233058992646779,0.976694100735322
"264","25","Low","1 cm",14.99,376.528062826892,80.5715,0.001176035,"12",6.3212077386591,0.0167881450620196,0.98321185493798
"274","26","Low","5 cm",15.01,765.32772976509,80.9535,0.000762881,"12",4.11444950256496,0.00537606223131082,0.994623937768689
"284","27","Low","5 cm",15,770.427604482291,80.9361,0.000900769,"12",4.86031532406,0.00630859446855622,0.993691405531444
"294","28","Low","5 cm",15.01,774.408944938255,80.9435,0.000914555,"12",4.93186426665556,0.00636855281552667,0.993631447184473
"304","29","Low","5 cm",15,777.6298067812,80.9524,0.000895014,"12",4.83023542224,0.00621148441085807,0.993788515589142
"316","30","Low","5 cm",15.01,769.116061377529,80.9513,0.000832432,"12",4.48943721263158,0.00583713881178187,0.994162861188218
"334","31","Control","Surface",15.01,781.623063866952,80.9904,0.000756177,"12",4.0801517455563,0.00522010152229953,0.9947798984777
"344","32","Control","Surface",14.99,774.665860569703,80.9957,0.000904788,"12",4.88885506414943,0.00631092102155384,0.993689078978446
"354","33","Control","Surface",14.99,762.4007741146,80.9937,0.000906859,"12",4.89992433544363,0.00642696663199754,0.993573033368003
"364","34","Control","Surface",14.99,798.125129606775,80.987,0.000791874,"12",4.27828549953302,0.00536041948916064,0.994639580510839
"374","35","Control","Surface",15.01,772.739861994198,80.9879,0.000840235,"12",4.53356883121253,0.00586687584553075,0.994133124154469
"384","36","Control","1 cm",14.99,793.386989797608,80.9959,0.000923094,"12",4.98778047462308,0.00628669304987653,0.993713306950123
"394","37","Control","1 cm",15,768.583224259895,80.9954,0.001043502,"12",5.63459079272,0.00733113944575854,0.992668860554241
"404","38","Control","1 cm",15.01,797.33755634904,80.9892,0.000949199,"12",5.12157679219187,0.00642334824367644,0.993576651756324
"415","39","Control","1 cm",15.02,787.84062546528,80.9856,0.000703979,"12",3.79574978045273,0.00481791577860186,0.995182084221398
"424","40","Control","1 cm",15,766.449918282987,80.9873,0.000839931,"12",4.53491625842,0.00591678092755126,0.994083219072449
"434","41","Control","5 cm",15,791.87733451923,80.9989,0.000701538,"12",3.78825375388,0.00478388961110997,0.99521611038889
"444","42","Control","5 cm",15,799.744461446733,81.0049,0.000761588,"12",4.11282398541333,0.00514267267068441,0.994857327329316
"454","43","Control","5 cm",14.99,783.862763637168,81.0072,0.000968653,"12",5.23468094073382,0.00667805792489058,0.993321942075109
"464","44","Control","5 cm",15.01,772.897396772172,81.0012,0.000850628,"12",4.5903989842505,0.00593920875322034,0.99406079124678
"474","45","Control","5 cm",14.99,813.18234471641,81.0033,0.000756478,"12",4.08787287374249,0.00502700642765197,0.994972993572348
